"MERIT"	"COMID"	"mean_nit"	"sd_nit"
7	72054931	1.67689178540482	0.195925041808984
6	62048233	0.0913276307115564	0.020086331903923
7	71044320	0.111239872512474	0.0210010267986527
2	28078018	1.05501543761603	0.238391561761103
3	31072606	0.220772435445172	0.0648684116309278
6	62084073	0.215252085356564	0.0345019577283008
7	74010599	0.176257576018955	0.062334999670157
5	56134572	0.35925347017381	0.12743857507975
1	13049334	0.153772950904844	0.0223305520686283
6	65016296	0.8740438750258	0.183632672258853
2	21000636	1.6513447148256	0.140830604073787
4	42016126	0.084972007704865	0.0175474448146771
2	23004493	3.49048260288344	0.459854927768486
5	53007998	0.134376383322821	0.0300501283431009
1	16029951	0.762500896852888	0.202831747984931
1	16042061	1.12776301453214	0.299662060419971
1	17037074	0.452258667489358	0.0893192694587194
4	41008922	0.248098098568505	0.0403887789251996
4	48034617	0.369483622451661	0.107173759978046
1	13068994	0.130459708440851	0.0259447868392394
2	26023025	0.190852396762602	0.0428662522360196
7	74011163	0.56238892578393	0.0935791673700224
8	82008816	0.0297753553164099	0.00781750454029335
1	12046853	0.336333150495358	0.0872185751488024
1	15103300	0.754965388270393	0.235375243517933
3	35023347	0.178318812853065	0.0483188762684585
3	31011539	0.0546404456673143	0.0129820858637347
4	48015672	0.239966913410025	0.066775017443727
6	62080782	0.0963628436529545	0.0199563477389339
1	12031547	0.395363578316524	0.0782653809774563
2	21008750	0.371609322386202	0.0735662525133089
6	61003710	0.414319167464793	0.0945668936543172
8	82021069	0.076943150422556	0.021030313743948
8	81001817	0.297396386985338	0.0868719886021527
2	23023360	1.13933101884247	0.224832509051299
4	44013909	0.375826411311848	0.0627604904643203
4	48021538	0.635577105534297	0.15529149769044
1	15106133	0.630544109270157	0.173250590173846
7	75005513	1.36882213740855	0.389212930145844
6	64070753	0.744409190231056	0.147863850343333
7	78007664	0.130654595606682	0.0245018388860307
3	32019121	0.116006156995523	0.0253331443932648
7	77056264	0.679925114554267	0.151346453428543
8	82037536	0.12851240413216	0.0292051453750868
1	17015317	0.885401708628005	0.253583331264933
7	74030315	0.982760152902729	0.199388453949363
4	45068740	0.672005965324895	0.132549087985086
4	45053029	0.625287160403483	0.13986551986839
4	43063256	0.289603192083896	0.0635564265234916
4	43081621	0.21180862535202	0.0246082477835509
4	43041786	0.1874640965514	0.054671252026049
4	43084556	0.278720587440663	0.0375412708974238
2	24036802	1.92577915614403	0.392037196091931
6	62054405	0.106640908315905	0.0224634750395475
5	55000192	0.102019120155639	0.0190655224479562
4	42057980	0.886839987575334	0.159343914142931
1	17002457	0.477524894563551	0.121214236954532
7	77042652	0.179820964260853	0.0318977710760458
6	61000739	0.687664822964426	0.161557812893951
7	71025372	0.0680390436958561	0.0179662475963745
5	51000887	0.120614828204825	0.0272256858091174
8	82011667	0.0499821314046257	0.0163583541863986
7	74035785	1.74664746054492	0.343732250877342
2	22019271	2.80668762495617	0.461078279493916
2	22029650	1.17519145562382	0.281056528495694
5	56087062	0.282997554870922	0.102649163445112
1	11043476	0.726020629880194	0.208843398926046
4	43044057	0.136023228713836	0.0213787865574588
4	41006528	0.497499873315289	0.0783738754098624
3	32052018	0.0828814884001905	0.0180200781440406
3	31004682	0.0848908917250271	0.0241505042106768
5	53016026	0.100184568823528	0.0182369734494738
1	17028005	0.608831218510546	0.138579050142048
1	14013913	0.696618792961208	0.191234211369782
8	82012965	0.144625155435835	0.0273546118475427
2	22022196	3.1613765203032	0.371327920554408
2	28017963	0.262396271720218	0.0541295382836529
1	13026702	0.0899772681937391	0.0187474070595127
7	72018796	0.0347951443834639	0.0114711420720311
8	82037433	0.0833209267950409	0.0266898537080402
6	62079423	0.0931484481318575	0.0168716994378003
6	62030222	0.183889837830309	0.0408537817127517
5	56142182	0.151780415814657	0.0329486574123555
4	42036389	0.15976467619783	0.0407813072597617
8	82018618	0.0944942200532397	0.0159795734469465
6	62129116	0.24711151985989	0.0627081217731558
1	12054508	0.47308081214248	0.125386771181597
6	62025134	0.117426667650889	0.0281492005769821
1	14004506	0.634307509133184	0.185095367613491
7	74029940	3.66565140024894	0.730610392925057
1	13034668	0.079134291060671	0.0143744455420596
6	61020404	0.6057892908607	0.131535248633654
1	16018780	1.0815617137598	0.290817250064835
1	13105101	0.213897428845082	0.0503424240604696
3	32008099	0.0822318919234769	0.0214911867433873
5	56132473	0.598659719547885	0.218149147591048
1	17035316	0.61219469144322	0.147700806742371
4	42016761	0.113881977425442	0.0368374638369073
2	24016264	0.147422943645941	0.0314286265536968
4	45086143	1.80378059504846	0.37414987766248
5	56058183	0.489094638692676	0.167849707614563
3	34024687	0.0792683057742433	0.0219229309640636
2	23024329	3.50368760793905	0.596804946622548
8	81009351	0.1418104952289	0.0446301069134389
8	82017837	0.0909352036310176	0.0277245579257426
6	62149738	0.505798850445678	0.106503122006058
4	45019521	0.603778289986226	0.111605798946647
1	16037110	1.04518299296271	0.240455481611866
7	75008412	1.74354605766009	0.463175327437506
6	63005075	0.343342087787023	0.0778912005044303
1	13035535	0.0850756915266532	0.0186142494884536
4	44035041	1.0216744716208	0.257268800508935
6	63020970	0.27915323754175	0.0753728936200001
6	64057642	0.631562956066471	0.138950185209695
1	13017732	0.124923454844452	0.0211173362009417
2	28026470	0.647313305914468	0.162828865139069
6	61041510	0.104731027692869	0.0231525647928332
5	56166740	1.02130491631859	0.289458698886677
5	56172488	0.0727998582530285	0.0203429004272571
5	51007755	0.287316583652919	0.0480901037603615
6	66017386	0.273861795542752	0.0672144844816626
5	56096297	0.409851298056704	0.141834835673776
3	32033769	0.10184331990477	0.0341746470555974
6	62148828	0.0957555111021004	0.0183079896905415
8	86003594	0.112339610626123	0.0356280082674798
5	56165696	0.12246346857355	0.0654649863211012
6	64003475	0.276205539372046	0.0535408695067661
2	22031505	1.81230992073598	0.345094868182307
1	16009799	0.52834583459697	0.152287622251682
6	63039845	0.140738041979481	0.0229655509146726
5	52023684	0.291781229911699	0.0500247699326126
4	44034253	0.132412115346846	0.0228636718246148
